Ticker,Rank,Sector,Momentum,Reversion,Multifactor,Eventos,Score,Senal principal,Rend 1 sem,Rend 3m,Mom 12-1,Volatilidad,RSI,Tendencia,Reporta en (dias)
CSX,1,Industrial,80.78947368421052,93.85113268608414,76.18736852170586,52.103559870550164,76.28399117310177,Reversion,-0.05970145528634285,-0.0018202535057991742,0.5400605252409256,0.21727041413444126,25.384463478210066,Alcista,28.0
UNP,2,Industrial,76.70565302144249,91.97411003236247,76.09025387263338,60.08605472197705,76.25080501909068,Reversion,-0.05419525191936503,0.04221181283390285,0.40199094590080997,0.21793216547753003,24.562892117121905,Alcista,29.0
FDX,3,Industrial,74.3664717348928,86.86084142394822,73.67808535730222,52.71697558105325,72.3289305286588,Reversion,-0.053683969626335704,-0.0968088313336598,0.8095864584143697,0.24798397488209362,32.74515451187453,Alcista,
ALL,4,Financiero,71.05506822612087,89.38511326860844,68.329346092504,57.04692556634304,71.10173206257777,Reversion,-0.06043024493991822,0.09575284126114258,0.25626653149443235,0.29312791271748867,35.658508254230284,Alcista,
NUE,5,Materiales,89.96101364522417,79.35275080906149,61.19891774891775,48.97764048249485,71.01405767655385,Momentum,-0.0480305178172411,-0.007898875409479422,0.8146131881037639,0.37729094378351874,39.4945559002061,Alcista,
WBD,6,Comunicaciones,67.79981354352063,,66.1752619361315,79.06001765225066,70.00565771793222,Eventos,0.09608536722196304,0.14285708219405535,0.5096255823787921,0.2875143655683574,75.83994389127244,No,
BNY,7,Financiero,93.1932261208577,72.49190938511327,66.64473684210526,37.588261253309796,69.96742301657349,Momentum,-0.0239122427051357,0.05505686551918787,0.4754400115745705,0.21911049067822613,36.50760947791446,Alcista,22.0
FANG,8,Energia,66.42300194931774,86.92556634304208,59.235209235209226,65.74727861135628,68.23203234623776,Reversion,-0.07996304127275444,0.013377747451604804,0.5365676562082995,0.3706984589144235,38.66520553316135,Alcista,
STT,9,Financiero,96.92373294346979,59.09385113268609,63.48684210526316,40.956899087967045,68.1333225587505,Momentum,-0.019983044708997144,0.06682313027139952,0.6585765675012099,0.23070757290361288,43.39310405404843,Alcista,21.0
USB,10,Financiero,75.39717348927876,71.13268608414239,70.92105263157895,49.5417769932333,68.03036045173245,Momentum,-0.035737103821963934,0.03880808642546363,0.27947766851015454,0.20096590964530364,39.37104454856961,Alcista,22.0
VZ,11,Comunicaciones,68.94228324434275,84.98381877022653,76.40222096743837,33.1318034716093,67.2264757119015,Reversion,-0.07038410110963134,0.0690653801529224,0.2033459812763161,0.26809524830866976,39.91487292222406,Alcista,27.0
CVS,12,Salud,56.271929824561404,96.76375404530745,61.782051282051285,59.71351868196528,66.71164887743836,Reversion,-0.0832025570248317,-0.12988823270017447,0.2983398346085733,0.25503670462882105,27.38955561684027,Alcista,
MTB,13,Financiero,67.04191033138402,83.75404530744338,71.57894736842104,39.482936157693445,66.23365360296889,Reversion,-0.045664789655591065,0.003050344268841876,0.21491561478986188,0.2003159651820309,32.49249182754073,Alcista,23.0
NSC,14,Industrial,66.5009746588694,82.97734627831714,68.35658108624976,44.541041482789055,65.96094427575699,Reversion,-0.03430707979233738,0.02013084130224052,0.24780500655924542,0.20761976021959389,25.804986849962646,Alcista,29.0
NTRS,15,Financiero,90.17543859649122,56.116504854368934,68.94736842105263,29.829361576934392,64.92601539152382,Momentum,-0.015189090659003202,0.024117481346962233,0.4029613590060026,0.21601017004095346,42.350085102991926,Alcista,28.0
CPAY,16,Financiero,89.98538011695906,70.22653721682848,63.80462519936203,21.949102677258015,64.57212957371362,Momentum,-0.03718246177202855,0.14416564178111813,0.3496249707715229,0.2522045612002715,44.12071667399068,Alcista,
AMP,17,Financiero,69.7490253411306,78.96440129449839,58.9792663476874,49.811709326272435,64.37370963079957,Reversion,-0.04085653350153129,0.13997088002749258,0.1281334696713985,0.23861610002807704,40.258071616321025,Alcista,
KO,18,Consumo basico,86.75172780435939,50.87378640776699,69.51839826839827,35.645042659605764,64.18480363530185,Momentum,-0.01913979907772112,0.10197230871880758,0.3896291872174875,0.22287051274370265,46.53709491818713,Alcista,27.0
PNC,19,Financiero,68.31140350877193,79.54692556634303,66.44736842105263,38.89232127096204,64.11548094640838,Reversion,-0.03901615512968026,0.0017025232349763275,0.20992272446573645,0.17857986119852298,34.89564475123839,Alcista,22.0
CNC,20,Salud,93.15009746588694,57.4757281553398,56.589743589743584,36.97705207413945,63.81250836258501,Momentum,-0.06367966525195135,0.020571569602949147,0.9937831221751436,0.37752151838822523,47.49821818148102,Alcista,
PFG,21,Financiero,88.3674463937622,22.524271844660195,64.93062200956938,60.38099441012063,62.57047377195563,Momentum,-0.0036783601331312754,0.05507163601817333,0.3877151440238351,0.23308913207006388,56.34472761603556,Alcista,
IEX,22,Industrial,84.26900584795322,42.912621359223294,76.0418857971569,28.763606943218594,62.42851315402142,Momentum,0.0017556468475736775,-0.009326526378399591,0.46380822681199674,0.18018734515237814,42.45611573140559,Alcista,
EXPD,23,Industrial,90.42884990253411,21.035598705501616,68.99180053547524,50.62224183583407,62.15776323966994,Momentum,-0.007540967456559855,0.177750542966002,0.5183217896442631,0.24423475517993254,60.26718879806757,Alcista,
IVZ,24,Financiero,91.89814814814814,36.63430420711974,59.02870813397129,44.38364224771992,61.48164617560376,Momentum,-0.004125708256773608,0.0976331793223415,0.42854628136563133,0.3317326872293903,49.328041717849395,Alcista,
RF,25,Financiero,59.30799220272904,85.37216828478965,63.421052631578945,35.18240659017358,60.929628425285046,Reversion,-0.049284096428380164,0.0031148760663994857,0.13599073935727524,0.21152606848814276,31.85833450053002,Alcista,23.0
VLO,26,Energia,96.13478139793929,12.944983818770226,66.08225108225108,48.02000588408356,60.85810768462787,Momentum,0.026948626394249553,0.6194512789021531,1.1284754199947278,0.34554463179205974,63.42037500885781,Alcista,29.0
FTNT,27,Tecnologia,84.41201836299169,10.35598705501618,68.40052295446131,62.525007355104435,60.41996127726002,Momentum,0.029674481543660924,0.20524105140078297,0.861834760630213,0.46207396223170405,62.34945740088007,Alcista,
MPC,28,Energia,95.0306321358953,15.792880258899677,61.32034632034632,51.0885554574875,60.28158068014992,Momentum,0.014957731096460591,0.631613827448501,0.9684025478181233,0.3483598244335855,62.6884776134395,Alcista,
BEN,29,Financiero,95.2071150097466,30.80906148867314,61.42822966507177,35.53839364518976,60.26009442921809,Momentum,0.0050791204883542385,0.00140367603915581,0.4663928421843395,0.23978100027089005,49.54629762632066,Alcista,
HPE,30,Tecnologia,90.3153874855389,5.76051779935275,59.25389516228558,67.5198587819947,59.52686011061684,Momentum,0.11723853096526193,0.2790534333025778,1.127886773376813,0.6910820088307589,60.80523612489472,Alcista,
WST,31,Salud,83.72027290448344,13.527508090614887,68.38461538461539,54.05339805825243,59.14764771650311,Momentum,0.018524736334835534,0.09798410356173126,0.3917705181770157,0.24757138714065208,60.94462696754753,Alcista,29.0
CINF,32,Financiero,43.75,79.93527508090615,64.71929824561403,52.851573992350694,59.09815928833558,Reversion,-0.030054633417847088,-0.02722713416871758,0.10278705729690363,0.24641059978940333,37.13602531065051,Alcista,
PSX,33,Energia,88.47257031467558,15.53398058252427,63.56782106782107,51.37099146807885,58.993111824869615,Momentum,0.018244777429196057,0.562491847812226,0.8812860856458677,0.3172917157595273,61.81026846966462,Alcista,
AMD,34,Tecnologia,92.9921738609554,1.1650485436893203,56.852045538689374,68.61429832303618,58.909135193238534,Momentum,0.2474818405845749,0.1158204123831339,1.9727710036625155,0.718099986474689,72.96287920422287,Alcista,
LYV,35,Comunicaciones,73.40579710144928,56.18122977346278,52.25731695840391,44.38658428949691,57.812497030547895,Momentum,-0.01347024749774639,-0.008091023115419649,0.10529519290675693,0.24610996861822967,38.475952245721935,Alcista,
MDLZ,36,Consumo basico,60.19138755980861,81.35922330097088,51.55844155844156,37.71476904972051,57.33974720561333,Reversion,-0.03558264533452549,0.01956573900075198,0.04929731239629209,0.2572398774227002,36.536878767107595,Alcista,
IBKR,37,Financiero,91.79093567251462,19.223300970873787,55.44258373205741,45.73477493380406,57.16167100230718,Momentum,0.027107427928073413,-0.03641416263365793,0.3886094570680174,0.4308626516867848,54.147551773944556,Alcista,27.0
A,38,Salud,73.50633528265107,3.1067961165048543,64.25641025641026,75.11032656663724,56.97224819834682,Eventos,0.10313350868467275,0.28272184706918013,0.23455754066107737,0.27998297173030223,68.96386173031019,Alcista,
JPM,39,Financiero,72.14181286549707,36.24595469255664,65.65789473684211,41.65563401000294,56.920230021213676,Momentum,0.005455127054159847,0.06680921434717346,0.14380924475023016,0.17997862821881253,48.121458595222066,Alcista,20.0
TGT,40,Consumo basico,95.3216374269006,36.699029126213595,59.13600288600289,16.01279788172992,56.879657495459746,Momentum,-0.006238123840026755,0.2250097632811736,0.8414014155308907,0.3128166585033421,51.18977199760363,Alcista,
FDXF,41,Industrial,,,33.70784726206413,91.0743355888987,56.65444259279796,Eventos,-0.09147098071668214,-0.2692929247535214,,0.46259366811552843,33.76720605114153,,
GWW,42,Industrial,76.16959064327486,39.676375404530745,67.23311898387199,27.527949396881436,56.46167784842649,Momentum,0.000219199297645023,-0.045574581980662,0.3042638225143772,0.21405817222572088,44.673439915105654,Alcista,
TECH,43,Salud,81.25633528265107,15.339805825242715,72.17948717948718,36.05987055016181,56.31068201372238,Momentum,0.002767463496982314,0.30462606637603207,0.37024035375972875,0.04009047229579267,63.350222939886535,Alcista,
DGX,44,Salud,71.01900584795321,14.23948220064725,66.73076923076923,59.35348631950574,56.04352622764733,Momentum,0.029383351595688056,0.27015001954478035,0.3393055594372725,0.2583267725312966,59.848080644419504,Alcista,29.0
IQV,45,Salud,82.16520467836257,12.944983818770227,48.01282051282051,71.14886731391586,55.87217778389214,Momentum,0.015846694178089038,0.6082474751754838,0.3462144684610371,0.4029241484253282,64.31976951290926,Alcista,
JNJ,46,Salud,75.13547758284601,23.49514563106796,82.3974358974359,18.61503383348044,55.68190993699425,Multifactor,0.01182785299584932,0.1708202198823332,0.5620903081748843,0.23909630836854406,54.216764150439715,Alcista,20.0
GPC,47,Consumo discrecional,67.48392849736635,86.34304207119742,40.46571336464953,28.29582230067667,55.312665432979585,Reversion,-0.050747011672669484,0.2123900977882256,-0.00892496891911676,0.3801944821811917,36.771190537771965,Alcista,27.0
FFIV,48,Tecnologia,66.40757556402835,2.7831715210355985,70.00848451190917,66.34083553986467,54.74961943496131,Multifactor,0.09382978149030863,0.15035657919521173,0.13860766257969015,0.3845595971884601,67.49776814879765,Alcista,
